Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
10/14/2015,249.97,255.93,248.06,252.47,26942.871,6753537.327,250.6613838
10/13/2015,245.81,250.89,242.82,249.73,25901.60285,6380494.838,246.3359073
10/12/2015,248.05,248.47,245.01,245.81,10671.70376,2633713.479,246.7940956
10/11/2015,245.71,248.5,244.53,248.05,19140.35541,4731236.285,247.1864385
10/10/2015,244.49,246.43,243,245.71,17313.14235,4239440.728,244.8683573
10/9/2015,243.29,244.95,242.16,244.48,14099.91554,3433311.672,243.4987403
10/8/2015,243.47,244.76,242.06,242.9,13983.75206,3407661.332,243.6871962
10/7/2015,246.79,247.65,242.3,243.2,23768.19691,5823652.608,245.0186958
10/6/2015,240.85,248.19,239.52,246.57,26684.24753,6485292.241,243.0382282
10/5/2015,238.6,240.85,236.1,240.84,20316.50365,4840156.015,238.2376465
10/4/2015,239.06,239.98,237.62,238.6,15015.06672,3587379.78,238.9186706
10/3/2015,237.77,239.86,236.3,238.95,17825.61764,4247863.435,238.301052
10/2/2015,238,239.06,235,237.77,16908.03467,4015993.339,237.5198192
10/1/2015,235.87,239.44,235.01,237.15,20341.00819,4823180.197,237.1160835
9/30/2015,236.78,238.27,234.67,236.2,20934.84649,4947383.296,236.3228838
9/29/2015,239.14,240.56,235.09,236.94,19877.45488,4723484.695,237.6302562
9/28/2015,232.4,239.68,231.69,239.14,17566.82644,4169714.961,237.3630193
9/27/2015,233.81,234.61,231.16,232.41,17506.44941,4071220.176,232.5554475
9/26/2015,235.14,235.67,233,233.81,15109.42411,3540710.51,234.3378863
9/25/2015,233.88,237.25,232.56,235.22,22555.4454,5304812.208,235.1898672
9/24/2015,229.42,235.52,228.89,233.86,24202.73636,5608546.024,231.7318976
9/23/2015,230.08,231.5,228,229.42,13586.08737,3126033.694,230.0907988
9/22/2015,226.15,231.96,223.12,230.42,19332.87962,4412739.068,228.2504808
9/21/2015,230.1,230.15,225,226.15,14081.3071,3196957.235,227.0355452
9/20/2015,230,231.7,229,230.16,13401.14495,3087488.553,230.389908
9/19/2015,233.24,233.76,229.89,230,11230.75792,2601612.799,231.6506879
9/18/2015,232.2,234.4,230.83,233.12,19458.90495,4535082.434,233.0594885
9/17/2015,228.34,235,227,232.17,14645.73629,3380034.362,230.7862367
9/16/2015,229.99,230.5,223,228.34,18169.46229,4135855.706,227.626753
9/15/2015,229.84,231.21,226.5,230.03,17298.61217,3976679.566,229.8843125
9/14/2015,229.66,232.92,223.99,229.71,16674.85662,3827895.676,229.560935
9/13/2015,234.79,236.09,228,229.66,19655.12044,4546007.725,231.2887239
9/12/2015,239.92,240,233.02,234.79,17449.1186,4143757.659,237.4766172
9/11/2015,238.57,240.94,237.5,240,13805.17685,3309006.874,239.6931898
9/10/2015,238.35,241.65,234.78,238.66,20694.91915,4949167.984,239.1489403
9/9/2015,244.04,244.22,237.01,238.35,23251.86554,5579259.418,239.9488939
9/8/2015,240.07,246.24,239.98,244.21,24023.87906,5854496.857,243.6949021
9/7/2015,240.28,242.91,238.44,240.19,23152.03156,5567107.965,240.4587239
9/6/2015,235.39,244.2,235.02,240.28,25758.89183,6192929.552,240.4190985
9/5/2015,230.72,237.22,229.23,235.6,20103.04009,4692704.303,233.4325695
9/4/2015,227.24,231.4,226.33,230.52,20870.01619,4786524.881,229.3493611
9/3/2015,228.95,229.96,226.5,227.28,19739.6291,4494648.758,227.6967179
9/2/2015,227.97,230.77,226,229.18,21470.76883,4909260.74,228.648577
9/1/2015,230.25,231.67,226.17,227.96,23925.18685,5460038.14,228.212978
8/31/2015,229.04,232.49,224.39,229.86,15803.51886,3616802.135,228.8605575
8/30/2015,230.41,232.75,225.04,229,15486.35994,3532995.296,228.1359408
8/29/2015,231.76,233.9,226.67,230.54,15490.55919,3565617.59,230.1800436
8/28/2015,225.09,235.93,220.29,231.65,22900.18694,5241943.613,228.903966
8/27/2015,225.8,228.89,223.17,225.09,14366.26384,3249912.031,226.2183173
8/26/2015,222.38,231.09,219.77,225.8,24007.5952,5434957.38,226.3849142
8/25/2015,209.76,228.04,198.12,222.38,42308.00563,9091324.501,214.8842605
8/24/2015,228.35,228.99,207.73,209.72,37523.08338,8154700.201,217.3248962
8/23/2015,231,234.03,225.85,228.89,12842.46669,2948508.074,229.5904786
8/22/2015,233.5,235.2,223.01,231,15856.24555,3633435.054,229.1485108
8/21/2015,235.15,236.66,231.77,233.49,10296.3175,2406953.015,233.7683365
8/20/2015,226.4,236.66,226.4,235.54,15812.33474,3691074.435,233.4300718
8/19/2015,224,237.66,222.01,226.92,24295.07256,5617682.671,231.2272441
8/18/2015,256.66,256.99,221.11,224.8,16141.82038,3992017.85,247.3090243
8/17/2015,256.11,259.12,254.63,256.47,8655.189805,2224063.095,256.9629488
8/16/2015,261.46,262.2,254.01,256.11,9633.275768,2480559.464,257.499061
8/15/2015,265.57,266.5,260.45,261.46,5485.630521,1450606.745,264.437559
8/14/2015,264.74,266.99,262,265.4,8012.603053,2121755.48,264.8022703
8/13/2015,267.53,267.88,262.32,264.48,10710.9742,2839488.045,265.1008202
8/12/2015,271.15,271.16,265.71,267.73,9520.314581,2552596.775,268.1210535
8/11/2015,264.11,271.5,264.07,271.15,8394.11575,2235123.972,266.2727127
8/10/2015,265.05,266.79,261.6,264.33,9697.419764,2562673.475,264.2634368
8/9/2015,262.19,268.95,261.01,265.05,8870.579578,2343259.512,264.1608129
8/8/2015,279.94,279.97,260.41,262.19,10269.86846,2777400.009,270.4416342
8/7/2015,277.48,280.43,274.19,279.63,8664.809049,2403686.812,277.4079381
8/6/2015,281.13,281.65,276.6,277.48,7123.812523,1985840.192,278.7608721
8/5/2015,284.91,285.86,280.63,281.13,6549.546264,1850415.936,282.5258211
8/4/2015,280.43,285.88,280.43,285,6206.118344,1760746.602,283.7114126
8/3/2015,282.53,285.8,279.52,280.43,6310.607366,1786928.275,283.1626453
8/2/2015,280.19,282.9,276.57,282.32,4530.177314,1265880.682,279.4329216
8/1/2015,284.69,285.16,276.66,280.19,7104.066619,1992192.814,280.4299172
